generation,best_fitness,elapsed
000,[0.79655415],2.393
001,[0.79655415],0.981
002,[0.79655415],1.052
003,[0.7965543],1.167
004,[0.7965543],1.195
005,[0.79668343],1.212
006,[0.79668355],1.224
007,[0.79668355],1.138
008,[0.79668355],1.069
009,[0.79668355],0.885
010,[0.79668355],1.036
011,[0.79668355],0.975
012,[0.79668355],0.892
013,[0.79668355],0.881
014,[0.79668355],0.899
015,[0.79668355],0.892
016,[0.79668355],0.898
017,[0.79668355],0.935
018,[0.79668355],1.098
019,[0.79668355],0.977
020,[0.79668355],0.877
021,[0.79668355],0.913
022,[0.79668355],0.995
023,[0.79668355],0.928
024,[0.79668355],0.998
025,[0.79668355],0.951
026,[0.79668355],0.989
027,[0.79668355],0.921
028,[0.79668355],1.033
029,[0.79668355],0.946
030,[0.79668355],1.001
031,[0.79668355],0.973
032,[0.79668355],0.858
033,[0.79668355],1.012
034,[0.79668355],0.950
035,[0.79668355],0.992
036,[0.79668355],0.984
037,[0.79668355],0.869
038,[0.79668355],0.862
039,[0.79668355],0.898
040,[0.79668355],0.982
041,[0.7967555],0.987
042,[0.7967555],0.994
043,[0.7967555],1.004
044,[0.79680794],0.878
045,[0.79680794],0.880
046,[0.7968566],0.912
047,[0.7968566],0.866
048,[0.7968566],0.901
049,[0.7968566],1.147
050,[0.7968566],1.043
051,[0.797585],0.979
052,[0.797585],0.991
053,[0.8063101],0.863
054,[0.83368546],0.902
055,[0.83473843],0.887
056,[0.83473843],0.898
057,[0.83473843],0.887
058,[0.8352799],0.908
059,[0.83527994],0.898
060,[0.83527994],0.928
061,[0.83527994],0.993
062,[0.83527994],1.026
063,[0.83527994],0.967
064,[0.83527994],0.902
065,[0.83527994],1.278
066,[0.83527994],1.230
067,[0.83527994],1.230
068,[0.83527994],1.196
069,[0.83527994],1.074
070,[0.83527994],0.870
071,[0.83527994],0.882
072,[0.83527994],0.930
073,[0.83527994],1.011
074,[0.83527994],0.940
075,[0.83527994],0.994
076,[0.83527994],0.914
077,[0.83527994],1.017
078,[0.83527994],0.869
079,[0.83527994],1.050
080,[0.83527994],1.061
081,[0.83527994],0.992
082,[0.83527994],0.963
083,[0.83527994],0.976
084,[0.83527994],0.891
085,[0.83527994],0.889
086,[0.83527994],0.901
087,[0.83527994],0.926
088,[0.83527994],0.884
089,[0.83527994],0.901
090,[0.83527994],1.046
091,[0.83527994],0.983
092,[0.83527994],1.014
093,[0.83527994],1.001
094,[0.83527994],0.975
095,[0.83527994],1.263
096,[0.83527994],1.162
097,[0.83527994],0.958
098,[0.83527994],1.002
099,[0.83527994],0.857
100,[0.83527994],0.991
101,[0.83527994],0.967
102,[0.83527994],1.000
103,[0.83527994],0.943
104,[0.83527994],0.961
105,[0.83527994],1.099
106,[0.83742917],0.982
107,[0.8378722],1.019
108,[0.8378722],0.963
109,[0.8378722],0.902
110,[0.8378722],1.171
111,[0.8378722],1.001
112,[0.8378722],0.882
113,[0.8378722],0.898
114,[0.83893543],1.028
115,[0.83893543],0.864
116,[0.83893543],0.926
117,[0.83961546],0.889
118,[0.83961546],0.896
119,[0.83961546],0.896
120,[0.8439006],0.926
121,[0.8439006],0.897
122,[0.8439006],1.031
123,[0.8439006],0.945
124,[0.8439006],0.963
125,[0.8439006],0.899
126,[0.8439006],1.122
127,[0.8439006],0.913
128,[0.8439006],0.890
129,[0.8439006],0.915
130,[0.8439006],3.910
131,[0.8439006],0.899
132,[0.8439006],0.847
133,[0.8439006],0.885
134,[0.8439006],0.864
135,[0.8439006],0.867
136,[0.8439006],0.888
137,[0.8439006],0.963
138,[0.8439006],0.939
139,[0.8439006],1.091
140,[0.8439006],1.026
141,[0.8439006],0.886
142,[0.8439006],0.928
143,[0.8439006],0.902
144,[0.8439006],0.884
145,[0.8439999],1.009
146,[0.8439999],0.903
147,[0.8439999],0.885
148,[0.8439999],0.982
149,[0.8439999],0.973
150,[0.8439999],1.020
151,[0.8439999],1.011
152,[0.8445201],0.976
153,[0.8445201],0.979
154,[0.8447975],1.038
155,[0.8447975],1.077
156,[0.8447975],0.998
157,[0.8447975],0.877
158,[0.8447975],1.023
159,[0.8447975],0.936
160,[0.8447975],1.027
161,[0.8447975],0.863
162,[0.8447975],1.012
163,[0.8447975],0.893
164,[0.8447975],0.932
165,[0.8447975],0.887
166,[0.8447975],0.991
167,[0.8447975],0.977
168,[0.8447975],0.989
169,[0.8447975],0.877
170,[0.8447975],1.126
171,[0.8447975],1.047
172,[0.8447975],0.897
173,[0.8447975],0.930
174,[0.8447975],0.963
175,[0.8447975],0.971
176,[0.8447975],0.972
177,[0.8447975],0.857
178,[0.8447975],1.010
179,[0.8447975],1.025
180,[0.8447975],0.987
181,[0.8447975],0.881
182,[0.8447975],0.892
183,[0.8449462],0.883
184,[0.8449462],0.864
185,[0.8449462],0.911
186,[0.8449462],1.161
187,[0.8449462],1.049
188,[0.8449462],0.866
189,[0.8449462],0.899
190,[0.8449462],0.993
191,[0.8449462],0.992
192,[0.8449462],0.980
193,[0.8449462],0.896
194,[0.8449462],0.870
195,[0.8449462],0.886
196,[0.8449462],1.012
197,[0.8449462],0.905
198,[0.8454165],0.885
199,[0.8454165],1.021
200,[0.8454165],0.859
201,[0.8454165],0.932
202,[0.8454165],1.208
203,[0.8454165],1.129
204,[0.8454165],1.022
205,[0.8454165],1.079
206,[0.8454165],0.995
207,[0.8454165],0.882
208,[0.8454165],0.862
209,[0.8454165],0.977
210,[0.8454165],0.971
211,[0.8454165],0.875
212,[0.8454165],0.937
213,[0.8454409],1.011
214,[0.8454409],1.013
215,[0.8454409],1.000
216,[0.8454409],1.011
217,[0.8454409],1.077
218,[0.8454409],0.857
219,[0.8454409],0.993
220,[0.8454409],1.024
221,[0.8454409],0.987
222,[0.8454409],0.903
223,[0.84635746],0.940
224,[0.84635746],1.002
225,[0.84635746],1.012
226,[0.84635746],0.968
227,[0.84635746],0.965
228,[0.84635746],0.854
229,[0.84635746],1.025
230,[0.84635746],0.860
231,[0.84635746],0.926
232,[0.84635746],1.010
233,[0.84635746],0.952
234,[0.84635746],0.978
235,[0.84635746],1.022
236,[0.84635746],1.006
237,[0.84635746],0.964
238,[0.84635746],0.870
239,[0.84635746],0.901
240,[0.84635746],0.916
241,[0.84635746],0.920
242,[0.84635746],0.980
243,[0.84635746],1.003
244,[0.84635746],0.885
245,[0.84635746],0.920
246,[0.84635746],0.886
247,[0.84635746],0.901
248,[0.84635746],1.107
249,[0.84635746],1.078
250,[0.84635746],1.022
251,[0.84635746],1.026
252,[0.84635746],0.988
253,[0.84635746],1.030
254,[0.84635746],1.031
255,[0.8463594],1.022
256,[0.8463594],0.900
257,[0.8463594],0.996
